w,Unit cell x-dimension (# of pixels),Unit cell y-dimension (# of pixels),Geometry encoding (Condensed 15),Geometry encoding (Condensed 25),"Geometry encoding (full, row-major)",Plane Stress/Plane Strain,C11 (sxx-exx),C12  (sxx-eyy),C22 (syy-eyy),C16  (sxx-exy),C26 (syy-exy),C66 (sxy-exy),Constituent Material CM0,CM0: C11,CM0: C12,CM0: C22,CM0: C16,CM0: C26,CM0: C66,Constituent Material CM1,CM1: C11,CM1: C12,CM1: C22,CM1: C16,CM1: C26,CM1: C66
C4v,10,10,000000010010100,,0000000000011100111001000000100100000010000000000000000000000100000010010000001001110011100000000000,Plane Strain,1266015104,413998505,1266015104,0,0,227382091,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010010101,,1000000001011100111001000000100100000010000000000000000000000100000010010000001001110011101000000001,Plane Strain,969814756,354981266,969814756,0,0,217087170,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010010110,,0100000010111100111101000000100100000010000000000000000000000100000010010000001011110011110100000010,Plane Strain,724657677,192399709,724657677,0,0,65533812,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010010111,,1100000011111100111101000000100100000010000000000000000000000100000010010000001011110011111100000011,Plane Strain,710074753,185710539,710074753,0,0,65031736,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010011000,,0010000100001100110011000000110100000010000000000000000000000100000010110000001100110011000010000100,Plane Strain,953282363,334636815,953282363,0,0,201794077,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010011001,,1010000101001100110011000000110100000010000000000000000000000100000010110000001100110011001010000101,Plane Strain,933371598,317977585,933371598,0,0,124347465,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010011010,,0110000110101100110111000000110100000010000000000000000000000100000010110000001110110011010110000110,Plane Strain,815174541,297816316,815174541,0,0,152375195,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010011011,,1110000111101100110111000000110100000010000000000000000000000100000010110000001110110011011110000111,Plane Strain,699553226,182907809,699553226,0,0,56166735,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010011100,,0010000100011100111011000000110100000010000000000000000000000100000010110000001101110011100010000100,Plane Strain,717688602,197797554,717688602,0,0,54393991,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010011101,,1010000101011100111011000000110100000010000000000000000000000100000010110000001101110011101010000101,Plane Strain,715818892,196233863,715818892,0,0,53631937,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
