Column,Label,Comment,Definition,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,Template
Symmetry,Symmetry,,,,,,,,,,,,,,
Unit cell x-dimension (# of pixels),Unit cell x-dimension (# of pixels),,,,,,,,,,,,,,
Unit cell y-dimension (# of pixels),Unit cell y-dimension (# of pixels),,,,,,,,,,,,,,
Geometry encoding (Condensed 15),Geometry encoding (Condensed 15),,,,,,,,metamine:Geometry,,sio:describes,??metamaterial,,,
Geometry encoding (Condensed 25),Geometry encoding (Condensed 25),,,,,,,,metamine:Geometry,,sio:describes,??metamaterial,,,
"Geometry encoding (full, row-major)","Geometry encoding (full, row-major)",,,,,,,,metamine:Geometry,,sio:describes,??metamaterial,,,
Condition,Plane Stress/Plane Strain,,,sio:Condition,??metamaterial,,,,,,,,,,
C11,(sxx-exx),,,metamine:C11,??metamaterial,,,,,,,{Condition},"{CM0: C11},{CM1: C11}",,
C12,(sxx-eyy),,,metamine:C12,??metamaterial,,,,,,,{Condition},"{CM0: C12},{CM1: C12}",,
C22,(syy-eyy),,,metamine:C22,??metamaterial,,,,,,,{Condition},"{CM0: C22},{CM1: C22}",,
C16,(sxx-exy),,,metamine:C16,??metamaterial,,,,,,,{Condition},"{CM0: C16},{CM1: C16}",,
C26,(syy-exy),,,metamine:C26,??metamaterial,,,,,,,{Condition},"{CM0: C26},{CM1: C26}",,
C66,(sxy-exy),,,metamine:C66,??metamaterial,,,,,,,{Condition},"{CM0: C66},{CM1: C66}",,
CM0,Constituent Material CM0,,,,,,,,sio:MaterialEntity,,sio:isComponentPartOf,??metamaterial,,,
CM0: C11,CM0: C11,,,metamine:C11,{CM0},,,,,,,,,,
CM0: C12,CM0: C12,,,metamine:C12,{CM0},,,,,,,,,,
CM0: C22,CM0: C22,,,metamine:C22,{CM0},,,,,,,,,,
CM0: C16,CM0: C16,,,metamine:C16,{CM0},,,,,,,,,,
CM0: C26,CM0: C26,,,metamine:C26,{CM0},,,,,,,,,,
CM0: C66,CM0: C66,,,metamine:C66,{CM0},,,,,,,,,,
CM1,Constituent Material CM1,,,,,,,,sio:MaterialEntity,,sio:isComponentPartOf,??metamaterial,,,
CM1: C11,CM1: C11,,,metamine:C11,{CM1},,,,,,,,,,
CM1: C12,CM1: C12,,,metamine:C12,{CM1},,,,,,,,,,
CM1: C22,CM1: C22,,,metamine:C22,{CM1},,,,,,,,,,
CM1: C16,CM1: C16,,,metamine:C16,{CM1},,,,,,,,,,
CM1: C26,CM1: C26,,,metamine:C26,{CM1},,,,,,,,,,
CM1: C66,CM1: C66,,,metamine:C66,{CM1},,,,,,,,,,
??metamaterial,,,,,,,,,metamine:Metamaterial,,,,,,
