Column,Label,Comment,Definition,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,Template
id,metamaterial id,unique id for each metamaterial,,sio:Identifier,??metamaterial,,,,,,,,,,
materials,Materials,Base materials used to create Metamaterials,,,,,,,sio:MaterialEntity,,sio:isPartOf,??metamaterial,,,
material_poisson_ratio_values,Poisson Ratio,Base materials Poisson ratio values,,materialsmine:PoissonsRatio,{materials},,,,,,,,,,
material_youngs_modulus_values,Young's Modulus,Base materials Youngs modulus values,,materialsmine:YoungsModulus,{materials},uo:0000110,,,,,,,,,
authors,Authors,Name of the authors who created the design,,sio:Name,??author,,,,,,,,,,
geometry_type,Geometry type,Type of Geometry this design falls into,,,,,,,sio:GeometricEntity,,,??geometry,,,
geometry_label,Geometry label,Geometry type with bit layout,,sio:Label,??geometry,,,,,,,,,,
geometry_data_type,Geometry data type,Type of Geometry data,,,,,,,sio:Structure,,,??geometry,,,
geometry_data,Geometry data,The actual geometry design,,,,,,,sio:MatrixChart,,,??geometry,,,
materials_label,Materials label,Defining how to find the the materials used for the design,,sio:Label,{materials},,,,,,,,,,
effective_poisson_ratio,Effective Poisson ratio,Poisson ratio of the generated metamaterial,,materialsmine:EffectivePoissonsRatio,??metamaterial,,,,,,,,,,
effective_youngs_modulus,Effective Youngs Modulus,Youngs modulus of the generated metamaterial,,materialsmine:EffectiveYoungsModulus,??metamaterial,uo:0000110,,,,,,,,,
??author,Author,,,,,,,,sio:Human,sio:AuthorRole,,??material_design,,,
??material_design,Material Design,,,,,,,,sio:Design,,,??metamaterial,,,
??metamaterial,Metamaterial,Metamaterial described by its geometry and which has some effective properties,,,,,,,materialsmine:Metamaterial,,,,,,
??geometry,Geometry,"Geometry describing Metamaterial, geosparql geometry class could be used",,,,,,,materialsmine:Geometry,,sio:describes,??metamaterial,,,
